,S0,S1,S2,S3,AVG
0,196.0,373.0,271.0,76.0,229.0
1,196.0,373.0,271.0,75.0,228.0
2,197.0,373.0,271.0,76.0,229.0
3,197.0,373.0,271.0,76.0,229.0
4,197.0,374.0,272.0,75.0,229.0
5,197.0,374.0,274.0,74.0,229.0
6,197.0,375.0,275.0,75.0,230.0
7,197.0,375.0,275.0,75.0,230.0
8,197.0,375.0,274.0,75.0,230.0
9,197.0,375.0,273.0,75.0,230.0
10,197.0,375.0,275.0,75.0,230.0
11,197.0,375.0,274.0,75.0,230.0
12,198.0,375.0,275.0,74.0,230.0
13,198.0,375.0,275.0,74.0,230.0
14,198.0,375.0,274.0,74.0,230.0
15,197.0,375.0,272.0,74.0,229.0
16,197.0,375.0,271.0,74.0,229.0
17,197.0,376.0,273.0,74.0,230.0
18,197.0,377.0,277.0,74.0,231.0
19,198.0,378.0,277.0,74.0,231.0
20,198.0,378.0,279.0,74.0,232.0
21,198.0,378.0,280.0,73.0,232.0
22,198.0,379.0,281.0,73.0,232.0
23,198.0,379.0,281.0,73.0,232.0
24,198.0,379.0,282.0,73.0,233.0
25,198.0,379.0,282.0,73.0,233.0
26,198.0,379.0,283.0,73.0,233.0
27,198.0,379.0,286.0,73.0,234.0
28,198.0,379.0,288.0,73.0,234.0
29,199.0,379.0,288.0,72.0,234.0
30,199.0,380.0,289.0,73.0,235.0
31,198.0,380.0,288.0,73.0,234.0
32,198.0,380.0,289.0,72.0,234.0
33,198.0,381.0,289.0,72.0,235.0
34,199.0,382.0,288.0,72.0,235.0
35,198.0,382.0,288.0,73.0,235.0
36,198.0,383.0,289.0,73.0,235.0
37,199.0,383.0,291.0,72.0,236.0
38,199.0,384.0,293.0,72.0,237.0
39,199.0,386.0,295.0,72.0,238.0
40,199.0,387.0,299.0,72.0,239.0
41,199.0,388.0,299.0,72.0,239.0
42,202.0,389.0,299.0,72.0,240.0
43,203.0,389.0,299.0,72.0,240.0
44,202.0,389.0,297.0,71.0,239.0
45,203.0,389.0,298.0,72.0,240.0
46,202.0,388.0,297.0,72.0,239.0
47,202.0,389.0,297.0,72.0,240.0
48,202.0,388.0,298.0,72.0,240.0
49,202.0,389.0,297.0,73.0,240.0
50,202.0,389.0,296.0,72.0,239.0
51,201.0,388.0,297.0,72.0,239.0
52,201.0,388.0,300.0,72.0,240.0
53,201.0,389.0,299.0,72.0,240.0
54,202.0,390.0,299.0,72.0,240.0
55,203.0,390.0,298.0,72.0,240.0
56,200.0,391.0,296.0,73.0,240.0
57,200.0,391.0,296.0,73.0,240.0
58,201.0,391.0,297.0,72.0,240.0
59,201.0,391.0,296.0,72.0,240.0
60,203.0,391.0,298.0,72.0,241.0
61,202.0,392.0,298.0,73.0,241.0
62,203.0,393.0,295.0,72.0,240.0
63,201.0,393.0,294.0,72.0,240.0
64,199.0,392.0,293.0,72.0,239.0
65,199.0,391.0,292.0,72.0,238.0
66,199.0,390.0,294.0,72.0,238.0
67,200.0,391.0,296.0,72.0,239.0
68,200.0,391.0,296.0,72.0,239.0
69,199.0,391.0,296.0,72.0,239.0
70,199.0,391.0,295.0,71.0,239.0
71,199.0,391.0,293.0,72.0,238.0
72,200.0,390.0,292.0,72.0,238.0
73,199.0,390.0,294.0,71.0,238.0
74,199.0,390.0,295.0,72.0,239.0
75,199.0,391.0,296.0,72.0,239.0
76,199.0,391.0,297.0,72.0,239.0
77,199.0,391.0,296.0,72.0,239.0
78,199.0,390.0,296.0,72.0,239.0
79,199.0,390.0,297.0,72.0,239.0
80,200.0,390.0,297.0,72.0,239.0
81,200.0,390.0,297.0,72.0,239.0
82,200.0,390.0,297.0,72.0,239.0
83,200.0,390.0,297.0,72.0,239.0
84,201.0,391.0,296.0,72.0,240.0
85,200.0,391.0,296.0,72.0,239.0
86,200.0,391.0,295.0,71.0,239.0
87,200.0,390.0,295.0,73.0,239.0
88,200.0,390.0,296.0,72.0,239.0
89,200.0,389.0,297.0,71.0,239.0
90,200.0,389.0,298.0,71.0,239.0
91,201.0,389.0,298.0,72.0,240.0
92,200.0,390.0,297.0,72.0,239.0
93,200.0,390.0,297.0,71.0,239.0
94,200.0,389.0,298.0,72.0,239.0
95,200.0,390.0,299.0,71.0,240.0
96,200.0,390.0,299.0,72.0,240.0
97,200.0,389.0,297.0,72.0,239.0
98,200.0,389.0,295.0,72.0,239.0
99,200.0,389.0,295.0,71.0,238.0
100,200.0,390.0,296.0,71.0,239.0
101,199.0,390.0,297.0,72.0,239.0
102,200.0,389.0,298.0,71.0,239.0
103,200.0,389.0,299.0,71.0,239.0
104,200.0,388.0,297.0,72.0,239.0
105,200.0,388.0,297.0,72.0,239.0
106,200.0,388.0,298.0,72.0,239.0
107,200.0,389.0,298.0,71.0,239.0
108,200.0,389.0,298.0,71.0,239.0
109,200.0,389.0,298.0,72.0,239.0
