,S0,S1,S2,S3,AVG
144,99.0,311.0,446.0,191.0,261.0
145,99.0,312.0,447.0,190.0,262.0
146,99.0,313.0,446.0,189.0,261.0
147,99.0,311.0,446.0,190.0,261.0
148,99.0,310.0,446.0,191.0,261.0
149,98.0,309.0,448.0,191.0,261.0
150,99.0,309.0,446.0,188.0,260.0
151,99.0,309.0,445.0,184.0,259.0
152,100.0,310.0,444.0,185.0,259.0
153,99.0,310.0,443.0,190.0,260.0
154,99.0,311.0,443.0,194.0,261.0
155,99.0,312.0,443.0,193.0,261.0
156,99.0,312.0,442.0,188.0,260.0
157,99.0,310.0,442.0,184.0,258.0
158,99.0,310.0,443.0,185.0,259.0
159,98.0,310.0,444.0,189.0,260.0
160,99.0,308.0,445.0,191.0,260.0
161,99.0,307.0,446.0,189.0,260.0
162,99.0,307.0,446.0,187.0,259.0
163,99.0,308.0,445.0,185.0,259.0
164,99.0,309.0,444.0,186.0,259.0
165,99.0,310.0,444.0,188.0,260.0
166,99.0,313.0,444.0,190.0,261.0
167,99.0,312.0,445.0,190.0,261.0
168,99.0,311.0,445.0,190.0,261.0
169,99.0,312.0,445.0,187.0,260.0
170,99.0,313.0,445.0,188.0,261.0
171,99.0,311.0,445.0,188.0,260.0
172,99.0,311.0,445.0,188.0,260.0
173,99.0,310.0,445.0,185.0,259.0
174,99.0,306.0,445.0,185.0,258.0
175,99.0,305.0,446.0,184.0,258.0
176,99.0,310.0,447.0,184.0,260.0
177,99.0,311.0,448.0,185.0,260.0
178,100.0,311.0,448.0,186.0,261.0
179,100.0,312.0,449.0,184.0,261.0
180,100.0,311.0,450.0,182.0,260.0
181,100.0,311.0,449.0,183.0,260.0
182,101.0,312.0,450.0,185.0,262.0
183,102.0,315.0,448.0,184.0,262.0
184,102.0,311.0,447.0,182.0,260.0
185,102.0,311.0,447.0,181.0,260.0
186,102.0,313.0,446.0,184.0,261.0
187,102.0,312.0,444.0,183.0,260.0
188,103.0,310.0,443.0,180.0,259.0
189,103.0,306.0,442.0,179.0,257.0
190,104.0,299.0,442.0,180.0,256.0
191,103.0,299.0,442.0,181.0,256.0
192,103.0,299.0,444.0,181.0,256.0
193,103.0,299.0,442.0,180.0,256.0
194,103.0,298.0,442.0,180.0,255.0
195,104.0,304.0,441.0,180.0,257.0
196,104.0,311.0,441.0,178.0,258.0
197,104.0,312.0,442.0,178.0,259.0
198,105.0,315.0,443.0,179.0,260.0
199,104.0,310.0,444.0,180.0,259.0
200,103.0,307.0,443.0,181.0,258.0
201,104.0,306.0,442.0,182.0,258.0
202,104.0,298.0,442.0,184.0,257.0
203,104.0,299.0,443.0,184.0,257.0
204,105.0,299.0,443.0,182.0,257.0
205,105.0,299.0,443.0,180.0,256.0
206,105.0,299.0,443.0,182.0,257.0
207,106.0,299.0,442.0,184.0,257.0
208,106.0,299.0,442.0,184.0,257.0
209,108.0,299.0,443.0,183.0,258.0
