,S0,S1,S2,S3,AVG
144,282.0,322.0,344.0,114.0,265.0
145,281.0,322.0,344.0,114.0,265.0
146,282.0,322.0,344.0,114.0,265.0
147,282.0,322.0,345.0,115.0,266.0
148,282.0,322.0,345.0,114.0,265.0
149,282.0,322.0,344.0,115.0,265.0
150,282.0,322.0,345.0,115.0,266.0
151,282.0,322.0,345.0,115.0,266.0
152,281.0,322.0,345.0,115.0,265.0
153,282.0,322.0,345.0,114.0,265.0
154,282.0,322.0,345.0,115.0,266.0
155,282.0,322.0,346.0,115.0,266.0
156,282.0,322.0,347.0,116.0,266.0
157,282.0,322.0,345.0,115.0,266.0
158,282.0,322.0,345.0,115.0,266.0
159,282.0,322.0,346.0,115.0,266.0
160,282.0,323.0,346.0,116.0,266.0
161,283.0,322.0,346.0,115.0,266.0
162,283.0,324.0,346.0,115.0,267.0
163,282.0,322.0,344.0,115.0,265.0
164,282.0,322.0,344.0,115.0,265.0
165,282.0,322.0,346.0,116.0,266.0
166,282.0,323.0,347.0,116.0,267.0
167,282.0,322.0,345.0,115.0,266.0
168,282.0,323.0,347.0,116.0,267.0
169,284.0,322.0,345.0,115.0,266.0
170,283.0,322.0,347.0,116.0,267.0
171,283.0,322.0,346.0,116.0,266.0
172,283.0,322.0,347.0,116.0,267.0
173,283.0,322.0,345.0,115.0,266.0
174,282.0,322.0,347.0,115.0,266.0
175,282.0,322.0,344.0,115.0,265.0
176,282.0,322.0,345.0,115.0,266.0
177,283.0,322.0,345.0,115.0,266.0
178,282.0,322.0,345.0,116.0,266.0
179,282.0,322.0,344.0,115.0,265.0
180,282.0,322.0,345.0,115.0,266.0
181,282.0,322.0,345.0,115.0,266.0
182,282.0,322.0,346.0,116.0,266.0
183,282.0,322.0,346.0,116.0,266.0
184,281.0,322.0,345.0,116.0,266.0
185,281.0,322.0,347.0,116.0,266.0
186,282.0,322.0,344.0,115.0,265.0
187,282.0,321.0,344.0,115.0,265.0
188,282.0,321.0,344.0,114.0,265.0
189,283.0,322.0,345.0,115.0,266.0
190,283.0,322.0,345.0,114.0,266.0
191,282.0,322.0,345.0,114.0,265.0
192,283.0,323.0,346.0,114.0,266.0
193,283.0,322.0,347.0,115.0,266.0
194,282.0,323.0,346.0,114.0,266.0
195,283.0,322.0,345.0,123.0,268.0
196,282.0,323.0,345.0,128.0,269.0
197,282.0,322.0,345.0,128.0,269.0
198,281.0,322.0,345.0,129.0,269.0
199,281.0,322.0,345.0,125.0,268.0
200,281.0,322.0,345.0,126.0,268.0
201,280.0,322.0,345.0,125.0,268.0
202,281.0,322.0,345.0,126.0,268.0
203,282.0,322.0,345.0,126.0,268.0
204,282.0,323.0,345.0,126.0,269.0
205,283.0,322.0,346.0,126.0,269.0
206,283.0,323.0,346.0,127.0,269.0
207,283.0,322.0,346.0,127.0,269.0
208,283.0,323.0,347.0,126.0,269.0
209,284.0,323.0,346.0,125.0,269.0
210,284.0,323.0,346.0,125.0,269.0
211,284.0,323.0,346.0,124.0,269.0
212,283.0,323.0,346.0,125.0,269.0
213,282.0,323.0,346.0,126.0,269.0
214,283.0,323.0,348.0,126.0,270.0
215,283.0,323.0,347.0,125.0,269.0
216,283.0,323.0,347.0,125.0,269.0
217,282.0,323.0,347.0,125.0,269.0
218,283.0,323.0,347.0,125.0,269.0
219,283.0,323.0,347.0,127.0,270.0
220,283.0,323.0,346.0,126.0,269.0
221,283.0,323.0,347.0,126.0,269.0
222,283.0,322.0,346.0,126.0,269.0
223,283.0,323.0,347.0,126.0,269.0
224,283.0,323.0,346.0,126.0,269.0
225,283.0,323.0,347.0,126.0,269.0
226,283.0,322.0,347.0,126.0,269.0
227,282.0,322.0,347.0,126.0,269.0
228,282.0,322.0,347.0,126.0,269.0
229,282.0,323.0,346.0,125.0,269.0
230,283.0,323.0,347.0,124.0,269.0
231,283.0,323.0,347.0,125.0,269.0
232,282.0,323.0,347.0,125.0,269.0
233,282.0,323.0,347.0,125.0,269.0
234,282.0,323.0,347.0,127.0,269.0
235,282.0,323.0,347.0,129.0,270.0
236,281.0,323.0,347.0,126.0,269.0
237,282.0,323.0,348.0,129.0,270.0
238,282.0,323.0,347.0,127.0,269.0
239,282.0,323.0,347.0,128.0,270.0
240,282.0,323.0,347.0,128.0,270.0
241,281.0,323.0,348.0,127.0,269.0
242,282.0,324.0,348.0,128.0,270.0
243,282.0,325.0,348.0,128.0,270.0
244,283.0,324.0,347.0,127.0,270.0
245,283.0,323.0,347.0,127.0,270.0
246,283.0,323.0,347.0,126.0,269.0
247,283.0,323.0,348.0,127.0,270.0
248,282.0,324.0,349.0,127.0,270.0
249,283.0,323.0,347.0,127.0,270.0
250,283.0,323.0,347.0,127.0,270.0
251,283.0,323.0,348.0,127.0,270.0
252,283.0,323.0,348.0,126.0,270.0
253,283.0,323.0,348.0,124.0,269.0
254,284.0,323.0,349.0,125.0,270.0
255,284.0,324.0,350.0,125.0,270.0
256,284.0,324.0,350.0,125.0,270.0
257,284.0,323.0,348.0,125.0,270.0
258,284.0,323.0,348.0,124.0,269.0
259,285.0,323.0,348.0,124.0,270.0
260,285.0,323.0,348.0,123.0,269.0
261,284.0,323.0,350.0,124.0,270.0
262,285.0,323.0,350.0,124.0,270.0
263,285.0,323.0,350.0,125.0,270.0
264,284.0,323.0,350.0,125.0,270.0
265,285.0,323.0,348.0,124.0,270.0
266,284.0,323.0,348.0,124.0,269.0
267,285.0,323.0,349.0,124.0,270.0
268,284.0,323.0,348.0,124.0,269.0
269,285.0,323.0,348.0,124.0,270.0
270,284.0,323.0,348.0,123.0,269.0
271,284.0,323.0,348.0,124.0,269.0
272,285.0,323.0,348.0,124.0,270.0
273,284.0,322.0,348.0,124.0,269.0
274,284.0,323.0,348.0,124.0,269.0
275,284.0,322.0,348.0,124.0,269.0
276,284.0,324.0,348.0,124.0,270.0
277,284.0,322.0,348.0,123.0,269.0
278,284.0,322.0,348.0,122.0,269.0
279,284.0,322.0,348.0,123.0,269.0
280,284.0,322.0,348.0,122.0,269.0
281,284.0,322.0,348.0,122.0,269.0
282,284.0,323.0,349.0,122.0,269.0
283,284.0,322.0,349.0,123.0,269.0
284,284.0,323.0,348.0,122.0,269.0
285,284.0,322.0,348.0,123.0,269.0
286,284.0,322.0,349.0,122.0,269.0
287,284.0,322.0,349.0,123.0,269.0
288,284.0,322.0,348.0,123.0,269.0
289,284.0,322.0,349.0,124.0,269.0
290,284.0,322.0,348.0,123.0,269.0
291,284.0,322.0,348.0,123.0,269.0
292,283.0,322.0,348.0,123.0,269.0
293,284.0,322.0,349.0,123.0,269.0
294,284.0,323.0,349.0,123.0,269.0
295,284.0,322.0,349.0,123.0,269.0
296,284.0,323.0,349.0,123.0,269.0
297,284.0,322.0,348.0,123.0,269.0
298,283.0,322.0,349.0,123.0,269.0
299,284.0,322.0,348.0,123.0,269.0
300,283.0,322.0,348.0,123.0,269.0
301,283.0,322.0,348.0,123.0,269.0
302,284.0,322.0,348.0,123.0,269.0
303,283.0,322.0,349.0,122.0,269.0
304,283.0,322.0,349.0,122.0,269.0
305,283.0,322.0,348.0,122.0,268.0
306,283.0,322.0,348.0,122.0,268.0
307,284.0,322.0,348.0,122.0,269.0
308,284.0,322.0,349.0,123.0,269.0
309,284.0,322.0,348.0,122.0,269.0
310,284.0,322.0,349.0,122.0,269.0
311,284.0,322.0,348.0,122.0,269.0
312,284.0,321.0,349.0,122.0,269.0
313,284.0,321.0,349.0,122.0,269.0
314,283.0,322.0,349.0,122.0,269.0
315,283.0,321.0,349.0,122.0,268.0
316,284.0,321.0,348.0,122.0,268.0
317,284.0,321.0,349.0,122.0,269.0
318,283.0,321.0,349.0,122.0,268.0
319,284.0,321.0,349.0,122.0,269.0
320,284.0,321.0,349.0,122.0,269.0
321,283.0,321.0,349.0,122.0,268.0
322,283.0,321.0,349.0,122.0,268.0
323,283.0,322.0,349.0,122.0,269.0
324,283.0,322.0,349.0,122.0,269.0
325,284.0,321.0,349.0,122.0,269.0
326,284.0,322.0,349.0,122.0,269.0
327,284.0,321.0,349.0,122.0,269.0
328,284.0,322.0,350.0,123.0,269.0
329,285.0,323.0,350.0,123.0,270.0
330,284.0,322.0,352.0,124.0,270.0
331,284.0,322.0,350.0,123.0,269.0
332,284.0,322.0,350.0,123.0,269.0
333,284.0,322.0,350.0,123.0,269.0
334,284.0,322.0,350.0,124.0,270.0
335,284.0,322.0,352.0,123.0,270.0
336,284.0,322.0,350.0,124.0,270.0
337,284.0,322.0,350.0,123.0,269.0
338,284.0,322.0,352.0,122.0,270.0
339,284.0,322.0,351.0,123.0,270.0
340,284.0,322.0,350.0,123.0,269.0
341,284.0,322.0,351.0,123.0,270.0
342,284.0,322.0,352.0,123.0,270.0
343,284.0,323.0,352.0,124.0,270.0
344,285.0,324.0,352.0,124.0,271.0
345,285.0,322.0,352.0,124.0,270.0
346,284.0,323.0,352.0,124.0,270.0
347,284.0,322.0,352.0,124.0,270.0
348,284.0,322.0,352.0,124.0,270.0
349,285.0,322.0,352.0,123.0,270.0
350,284.0,322.0,352.0,123.0,270.0
351,285.0,322.0,351.0,123.0,270.0
352,285.0,322.0,352.0,123.0,270.0
353,284.0,322.0,352.0,123.0,270.0
354,285.0,322.0,353.0,124.0,271.0
355,284.0,322.0,352.0,123.0,270.0
356,284.0,322.0,352.0,124.0,270.0
357,284.0,322.0,352.0,123.0,270.0
358,284.0,322.0,352.0,123.0,270.0
